File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
numpy/_core/tests/test_array_coercion.py,945,200,24,65,24,7,0
numpy/_core/tests/test_scalar_methods.py,327,100,7,26,6,10,0
numpy/_core/tests/test_scalarprint.py,403,29,6,13,1,4,0
numpy/_core/tests/test_function_base.py,502,83,9,47,7,8,0
numpy/_core/tests/_natype.py,144,23,4,12,1,2,0
numpy/_core/tests/test_deprecations.py,560,116,14,58,27,8,0
numpy/_core/tests/test_multiarray.py,11803,1643,19,876,150,51,0
numpy/_core/tests/test_indexing.py,1706,217,51,107,22,11,0
numpy/_core/tests/test_stringdtype.py,1992,358,23,105,2,15,0
numpy/_core/tests/test_limited_api.py,159,18,12,3,0,16,0
numpy/_core/tests/test_finfo.py,86,8,2,5,1,4,0
numpy/_core/tests/test_regression.py,2672,389,10,296,14,25,0
numpy/_core/tests/test_umath.py,5216,773,17,348,97,20,0
numpy/_core/tests/test_scalar_ctors.py,203,61,8,20,4,3,0
numpy/_core/tests/test_simd_module.py,105,30,5,8,1,2,0
numpy/_core/tests/test_indexerrors.py,122,10,2,10,1,2,0
numpy/_core/tests/test_arraymethod.py,85,18,5,4,3,6,0
numpy/_core/tests/test_simd.py,1345,393,15,69,7,7,0
numpy/_core/tests/test_datetime.py,3222,225,13,133,3,9,0
numpy/_core/tests/test_nditer.py,3683,357,15,131,4,12,0
numpy/_core/tests/test_getlimits.py,174,55,3,20,10,7,0
numpy/_core/tests/test_strings.py,1506,145,9,83,8,7,0
numpy/_core/tests/test_scalarinherit.py,105,24,3,7,13,3,0
numpy/_core/tests/test_einsum.py,1368,149,29,64,5,5,0
numpy/_core/tests/test_nep50_promotions.py,287,51,10,16,0,6,0
numpy/_core/tests/test__exceptions.py,90,47,14,7,3,4,0
numpy/_core/tests/test_extint128.py,217,50,6,15,0,8,0
numpy/_core/tests/test_api.py,671,46,5,26,2,7,0
numpy/_core/tests/test_mem_overlap.py,933,139,20,53,3,8,0
numpy/_core/tests/test_array_interface.py,222,9,6,4,1,6,0
numpy/_core/tests/examples/cython/setup.py,39,0,0,0,0,7,0
numpy/_core/tests/examples/limited_api/setup.py,24,0,0,0,0,3,0
numpy/f2py/__init__.py,80,4,2,3,0,7,1
numpy/f2py/func2subr.py,329,96,38,7,0,3,1
