File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
scrapy/extensions/spiderstate.py,51,14,3,5,1,9,0
scrapy/extensions/postprocessing.py,166,26,2,16,4,6,0
scrapy/extensions/closespider.py,150,33,9,11,1,13,0
scrapy/extensions/__init__.py,0,0,0,0,0,0,0
scrapy/extensions/throttle.py,129,22,5,9,1,9,0
scrapy/extensions/logstats.py,100,17,4,7,1,10,0
scrapy/extensions/memdebug.py,43,10,3,3,1,9,0
scrapy/extensions/httpcache.py,419,97,10,30,4,23,1
scrapy/extensions/logcount.py,48,7,2,4,1,7,0
scrapy/extensions/memusage.py,173,34,6,9,1,17,1
scrapy/extensions/statsmailer.py,56,10,3,3,1,10,0
scrapy/extensions/periodic_log.py,169,47,12,9,1,14,0
scrapy/extensions/feedexport.py,731,162,11,45,11,33,1
scrapy/extensions/corestats.py,61,12,3,7,1,8,1
scrapy/extensions/debug.py,79,17,3,6,2,14,0
scrapy/extensions/telnet.py,122,14,5,7,2,19,0
scrapy/spidermiddlewares/httperror.py,92,18,6,5,2,11,1
scrapy/spidermiddlewares/__init__.py,0,0,0,0,0,0,0
scrapy/spidermiddlewares/base.py,109,18,3,8,1,8,0
scrapy/spidermiddlewares/depth.py,101,18,6,6,1,11,0
scrapy/spidermiddlewares/urllength.py,53,9,3,3,1,8,0
scrapy/spidermiddlewares/referer.py,439,99,11,20,12,15,0
scrapy/spidermiddlewares/start.py,31,5,3,1,1,5,0
scrapy/spiders/crawl.py,231,51,9,18,2,19,0
scrapy/spiders/sitemap.py,166,43,8,10,1,13,1
scrapy/spiders/__init__.py,180,22,4,12,1,18,0
scrapy/spiders/feed.py,161,29,7,12,2,9,1
scrapy/contracts/default.py,130,38,7,6,5,8,0
scrapy/contracts/__init__.py,209,42,8,16,3,15,1
scrapy/core/__init__.py,3,0,0,0,0,0,0
scrapy/core/scraper.py,542,94,10,27,2,24,1
scrapy/core/spidermw.py,287,49,8,12,1,19,1
scrapy/core/scheduler.py,498,68,6,25,3,17,0
scrapy/core/engine.py,686,146,15,33,2,31,1
scrapy/core/http2/stream.py,507,73,13,19,4,18,0
scrapy/core/http2/__init__.py,0,0,0,0,0,0,0
scrapy/core/http2/agent.py,167,22,3,10,2,15,0
scrapy/core/http2/protocol.py,483,89,10,32,5,27,0
scrapy/core/downloader/__init__.py,284,49,7,19,2,24,0
scrapy/core/downloader/middleware.py,156,33,7,9,1,14,1
scrapy/core/downloader/contextfactory.py,312,38,4,15,4,20,1
scrapy/core/downloader/tls.py,184,19,6,5,2,16,1
scrapy/core/downloader/handlers/ftp.py,127,23,7,6,2,18,0
scrapy/core/downloader/handlers/_base_streaming.py,315,54,21,15,2,21,0
scrapy/core/downloader/handlers/http.py,19,0,0,0,0,3,0
scrapy/core/downloader/handlers/file.py,22,3,2,1,1,9,0
scrapy/core/downloader/handlers/s3.py,70,15,6,2,1,14,0
scrapy/core/downloader/handlers/_base_http.py,25,3,2,1,1,5,0
scrapy/core/downloader/handlers/__init__.py,178,30,7,8,2,15,0
scrapy/core/downloader/handlers/base.py,32,6,2,4,1,7,0
scrapy/core/downloader/handlers/http11.py,739,111,9,32,9,41,1
scrapy/core/downloader/handlers/datauri.py,24,7,4,1,1,7,0
scrapy/core/downloader/handlers/http2.py,128,21,3,8,2,20,0
scrapy/core/downloader/handlers/_httpx.py,227,38,11,11,1,19,0
scrapy/templates/project/module/__init__.py,0,0,0,0,0,0,0
scrapy/templates/project/module/spiders/__init__.py,4,0,0,0,0,0,0
scrapy/loader/__init__.py,106,9,5,1,1,6,1
scrapy/settings/__init__.py,729,134,7,47,3,16,1
scrapy/settings/default_settings.py,602,2,2,1,0,6,0
scrapy/pipelines/files.py,757,116,9,40,8,39,1
scrapy/pipelines/media.py,325,56,8,17,3,27,1
scrapy/pipelines/images.py,282,38,8,11,2,22,1
scrapy/pipelines/__init__.py,142,28,4,14,1,15,0
docs/conftest.py,34,2,1,2,0,8,1
docs/conf.py,169,0,0,0,0,5,1
docs/utils/linkfix.py,68,7,7,1,0,3,0
docs/_ext/scrapyfixautodoc.py,21,3,2,2,0,2,0
docs/_ext/scrapydocs.py,182,31,4,15,3,8,0
extras/qps-bench-server.py,61,13,4,5,1,5,0
extras/qpsclient.py,55,13,5,3,1,2,0
tests/test_feedexport_batch.py,457,87,11,19,3,26,0
tests/test_command_parse.py,531,67,5,23,1,11,0
tests/test_item.py,313,67,7,25,36,4,0
tests/test_http_request.py,505,160,28,32,3,7,0
tests/test_utils_request.py,457,74,6,32,8,10,1
tests/test_spidermiddleware_start.py,25,7,4,2,1,6,0
tests/test_utils_asyncgen.py,16,9,4,2,1,2,0
tests/test_commands.py,426,99,6,32,9,15,1
tests/test_downloadermiddleware_retry.py,744,123,11,44,3,11,0
tests/test_spider_crawl.py,309,63,5,22,14,13,0
tests/test_downloadermiddleware_cookies.py,816,150,17,51,1,11,1
tests/test_downloadermiddleware_httpauth.py,174,44,3,17,6,7,0
tests/test_utils_spider.py,30,9,5,2,2,5,0
tests/test_downloadermiddleware_redirect_metarefresh.py,159,31,7,11,1,11,0
tests/test_addons.py,243,56,7,23,11,9,0
tests/test_poet.py,20,2,2,1,0,3,0
tests/test_linkextractors.py,839,18,4,39,3,10,1
tests/test_command_genspider.py,205,67,10,11,2,6,0
tests/test_scheduler.py,403,112,6,34,16,21,1
tests/test_request_left.py,57,17,2,9,2,5,0
tests/test_command_version.py,25,9,4,2,1,2,0
tests/test_dupefilters.py,270,53,7,13,5,14,1
tests/test_utils_reactor.py,25,7,3,2,1,4,0
tests/test_exporters.py,680,156,5,72,26,16,1
tests/test_mail.py,164,55,12,8,1,6,0
tests/test_utils_serialize.py,80,19,3,7,3,9,0
tests/test_http_cookies.py,72,41,5,14,2,3,0
tests/test_robotstxt_interface.py,180,67,9,21,5,4,0
tests/test_utils_sitemap.py,312,26,3,11,0,2,0
tests/test_responsetypes.py,124,24,4,7,1,2,0
tests/test_pipeline_media.py,518,155,13,46,13,18,1
tests/test_spider_start.py,100,13,5,13,6,10,0
tests/test_spidermiddleware_referer.py,1125,118,10,22,40,11,0
tests/test_scheduler_base.py,165,79,13,19,9,13,0
tests/test_feedexport_storages.py,583,144,9,49,9,24,0
tests/spiders.py,573,180,5,69,37,16,0
tests/test_extension_telnet.py,61,7,2,5,1,6,0
tests/test_toplevel.py,35,14,3,6,0,5,0
tests/test_squeues_request.py,167,76,22,10,7,10,0
tests/test_downloadermiddleware_useragent.py,33,13,3,4,1,4,0
tests/test_downloadermiddleware.py,346,63,4,32,18,17,0
tests/test_utils_datatypes.py,379,177,11,41,10,10,1
tests/test_zz_resources.py,60,20,7,4,0,7,0
tests/test_utils_display.py,93,16,2,9,0,4,0
tests/test_selector.py,253,48,9,11,2,6,0
tests/test_spidermiddleware_httperror.py,259,83,15,23,5,11,0
tests/test_downloader_handlers.py,379,115,6,36,10,20,1
tests/test_utils_asyncio.py,151,41,5,12,3,11,1
tests/test_utils_template.py,21,5,5,1,0,1,0
tests/test_extension_throttle.py,345,30,5,12,2,11,0
tests/test_utils_httpobj.py,20,6,6,1,0,3,0
tests/test_downloadermiddleware_stats.py,43,10,2,6,2,4,0
tests/test_downloadermiddleware_defaultheaders.py,32,10,3,3,1,5,0
tests/test_utils_python.py,208,65,18,28,6,12,1
tests/test_crawler_subprocess.py,575,238,8,65,7,16,0
tests/test_closespider.py,110,27,4,9,1,4,0
tests/test_utils_project.py,69,17,3,6,1,6,1
tests/test_extension_periodic_log.py,211,30,9,10,2,8,0
tests/__init__.py,32,1,1,1,0,3,0
tests/test_pipeline_images.py,588,108,10,28,16,17,1
tests/test_http2_client_protocol.py,764,145,13,59,13,36,0
tests/test_engine.py,769,194,19,65,21,35,0
tests/pipelines.py,16,7,2,3,2,0,0
tests/test_core_scraper.py,27,2,2,1,0,7,0
tests/test_downloadermiddleware_offsite.py,221,31,5,9,0,6,0
tests/test_command_crawl.py,145,24,4,8,1,6,0
tests/test_downloader_handler_twisted_ftp.py,207,44,5,15,3,26,0
tests/test_engine_stop_download_bytes.py,65,21,7,3,2,7,0
tests/test_utils_iterators.py,537,88,10,28,5,10,0
tests/test_feedexport_uri_params.py,142,24,3,13,3,8,0
tests/test_downloader_handler_twisted_http2.py,217,38,3,16,12,16,0
tests/test_downloader_handler_httpx.py,161,34,5,6,16,11,0
tests/test_downloaderslotssettings.py,155,34,9,10,2,11,0
tests/test_pipelines.py,553,79,3,48,20,16,0
tests/test_spidermiddleware_output_chain.py,403,118,9,38,20,5,1
tests/test_middleware.py,109,45,5,17,5,8,0
tests/test_spidermiddleware_process_start.py,114,37,4,15,7,9,0
tests/test_command_runspider.py,361,74,6,27,2,11,0
tests/test_spidermiddleware_base.py,130,26,9,9,4,10,0
tests/test_signals.py,61,21,4,9,3,5,0
tests/test_signalmanager.py,21,7,4,2,1,1,0
tests/test_utils_deprecate.py,296,84,10,18,26,7,0
tests/test_spider_sitemap.py,440,50,6,25,9,16,0
tests/test_spider.py,204,49,5,17,8,13,0
tests/test_spidermiddleware_urllength.py,56,10,3,6,0,10,0
tests/test_engine_loop.py,346,33,9,30,5,13,0
tests/test_utils_gz.py,61,16,4,6,0,7,0
tests/test_downloadermiddleware_redirect.py,460,99,11,26,2,11,0
tests/test_utils_console.py,41,9,4,3,0,4,0
tests/test_utils_response.py,323,36,5,22,0,7,0
tests/test_command_shell.py,163,53,4,20,2,12,0
tests/test_contracts.py,603,118,9,53,16,12,0
tests/test_downloadermiddleware_httpproxy.py,444,156,13,29,1,7,0
tests/test_downloader_handlers_http_base.py,1558,320,10,97,12,34,0
tests/test_command_fetch.py,38,15,3,5,1,4,0
tests/test_logformatter.py,292,74,7,27,7,13,0
tests/test_crawler.py,795,166,15,74,41,20,1
tests/test_request_cb_kwargs.py,181,52,10,19,4,6,1
tests/test_downloadermiddleware_httpcompression.py,768,162,9,67,3,21,1
tests/test_utils_log.py,314,97,7,30,6,15,0
tests/test_utils_url.py,456,59,11,17,6,4,0
tests/test_feedexport.py,1404,216,9,96,22,32,1
tests/test_downloadermiddleware_redirect_base.py,1023,1,1,26,2,8,0
tests/test_utils_conf.py,154,31,4,13,2,4,0
tests/test_scrapy__getattr__.py,15,4,4,1,0,2,0
tests/test_utils_trackref.py,124,16,4,8,2,6,0
tests/test_request_attribute_binding.py,224,45,4,18,7,7,0
tests/test_http_request_json.py,190,46,6,12,1,7,0
tests/test_spiderstate.py,52,8,4,3,0,9,0
tests/test_spidermiddleware.py,498,127,4,63,30,19,0
tests/test_spidermiddleware_depth.py,57,9,5,4,0,10,0
tests/test_command_check.py,234,23,5,15,2,10,1
tests/test_http_request_form.py,1028,230,8,70,1,8,0
tests/test_http_response_text.py,684,174,22,39,5,8,0
tests/test_http_headers.py,164,71,8,19,1,3,0
tests/test_feedexport_postprocess.py,538,63,7,21,2,15,0
tests/test_engine_stop_download_headers.py,64,17,4,4,2,7,0
tests/test_utils_curl.py,230,21,3,15,1,6,0
tests/test_utils_signal.py,144,60,9,14,10,11,0
tests/test_stats.py,188,40,15,17,4,13,0
tests/test_http_response.py,408,109,17,34,2,10,1
tests/test_logstats.py,75,31,17,4,1,6,0
tests/test_crawl.py,1042,249,11,83,2,26,1
tests/test_core_downloader.py,280,47,4,21,5,30,0
tests/test_request_dict.py,211,59,18,29,6,4,0
tests/test_pipeline_files.py,825,169,10,47,25,36,1
tests/test_loader.py,567,194,7,44,26,10,1
tests/test_squeues.py,199,74,6,15,16,9,0
tests/test_pqueues.py,261,86,14,15,2,12,0
tests/test_downloader_handler_twisted_http11.py,119,21,2,4,15,10,0
tests/test_downloadermiddleware_downloadtimeout.py,37,16,3,5,1,4,0
tests/test_utils_defer.py,400,113,5,48,10,14,0
tests/test_pipeline_crawl.py,241,55,14,18,6,16,0
tests/test_downloadermiddleware_robotstxt.py,262,34,4,28,2,17,1
tests/test_dependencies.py,28,7,4,1,1,6,0
tests/test_extension_statsmailer.py,88,13,5,7,1,9,0
tests/test_command_startproject.py,292,65,9,13,2,13,0
tests/test_link.py,61,14,3,6,1,2,0
tests/test_downloadermiddleware_httpcache.py,598,155,16,26,11,15,0
tests/mocks/dummydbm.py,26,4,2,2,1,2,0
tests/mocks/__init__.py,0,0,0,0,0,0,0
tests/test_settings/__init__.py,1253,266,36,56,11,10,0
tests/test_settings/default_settings.py,3,0,0,0,0,0,0
tests/utils/cmdline.py,38,3,2,2,0,6,0
tests/utils/__init__.py,33,4,2,3,0,7,0
tests/utils/decorators.py,73,4,2,5,0,8,0
tests/test_spiderloader/__init__.py,255,78,11,21,4,14,0
tests/test_spiderloader/test_spiders/spider0.py,5,1,1,0,1,1,0
tests/test_spiderloader/test_spiders/spider2.py,6,1,1,0,1,1,0
tests/test_spiderloader/test_spiders/__init__.py,0,0,0,0,0,0,0
tests/test_spiderloader/test_spiders/spider1.py,6,1,1,0,1,1,0
tests/test_spiderloader/test_spiders/spider3.py,10,3,2,1,1,1,0
tests/test_spiderloader/test_spiders/nested/__init__.py,0,0,0,0,0,0,0
tests/test_spiderloader/test_spiders/nested/spider4.py,10,3,2,1,1,1,0
tests/test_spiderloader/spiders_from_addons/spider0.py,6,1,1,0,1,1,0
tests/test_spiderloader/spiders_from_addons/__init__.py,0,0,0,0,0,0,0
tests/AsyncCrawlerRunner/multi_parallel.py,28,4,2,2,1,6,0
tests/AsyncCrawlerRunner/custom_loop_different.py,31,4,2,2,1,6,0
tests/AsyncCrawlerRunner/reactorless_custom_settings.py,27,4,2,2,1,5,0
tests/AsyncCrawlerRunner/simple_default_reactor.py,24,4,2,2,1,5,0
tests/AsyncCrawlerRunner/reactorless_simple.py,24,4,2,2,1,5,0
tests/AsyncCrawlerRunner/simple.py,28,4,2,2,1,7,0
tests/AsyncCrawlerRunner/custom_loop_same.py,31,4,2,2,1,6,0
tests/AsyncCrawlerRunner/no_reactor.py,22,4,2,2,1,4,0
tests/AsyncCrawlerRunner/reactorless_reactor.py,24,4,2,2,1,5,0
tests/AsyncCrawlerRunner/multi_seq.py,27,4,2,2,1,6,0
tests/AsyncCrawlerRunner/reactorless_datauri.py,24,5,2,3,1,4,0
tests/AsyncCrawlerProcess/default_name_resolver.py,18,1,1,0,1,2,0
tests/AsyncCrawlerProcess/asyncio_enabled_reactor.py,53,8,3,2,2,3,0
tests/AsyncCrawlerProcess/twisted_reactor_custom_settings_same.py,22,2,1,0,2,2,0
tests/AsyncCrawlerProcess/twisted_reactor_asyncio.py,15,1,1,0,1,2,0
tests/AsyncCrawlerProcess/asyncio_enabled_reactor_different_loop.py,29,3,2,1,1,5,0
tests/AsyncCrawlerProcess/twisted_reactor_custom_settings_select.py,30,3,2,1,1,6,0
tests/AsyncCrawlerProcess/reactorless_sleeping.py,20,3,2,1,1,4,0
tests/AsyncCrawlerProcess/caching_hostname_resolver_ipv6.py,22,1,1,0,1,2,0
tests/AsyncCrawlerProcess/reactorless_custom_settings.py,36,5,2,2,1,7,0
tests/AsyncCrawlerProcess/multi.py,17,3,2,1,1,2,0
