File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
pandas/io/json/_normalize.py,671,71,34,12,0,12,1
pandas/io/json/_json.py,1500,253,33,49,8,28,1
pandas/io/json/_table_schema.py,402,60,13,6,0,17,1
pandas/core/common.py,695,114,11,37,0,19,1
pandas/core/apply.py,2287,391,17,94,9,48,1
pandas/core/flags.py,129,16,4,7,1,5,0
pandas/core/__init__.py,0,0,0,0,0,0,0
pandas/core/series.py,10118,429,47,182,1,59,1
pandas/core/indexing.py,3618,613,33,87,8,32,1
pandas/core/frame.py,19207,1063,41,293,1,94,1
pandas/core/algorithms.py,1756,167,21,28,0,29,1
pandas/core/resample.py,3215,282,28,80,9,34,1
pandas/core/sorting.py,776,99,19,18,0,17,1
pandas/core/config_init.py,933,14,4,8,0,13,1
pandas/core/generic.py,12719,872,45,222,1,69,1
pandas/core/sample.py,168,29,12,3,0,7,0
pandas/core/api.py,141,0,0,0,0,26,0
pandas/core/base.py,1699,118,14,47,4,25,1
pandas/core/construction.py,897,125,39,13,0,25,1
pandas/core/col.py,432,70,5,56,1,5,0
pandas/core/accessor.py,520,32,7,21,3,13,0
pandas/core/nanops.py,1692,227,18,52,2,16,1
pandas/core/arraylike.py,555,94,33,39,1,14,1
pandas/core/missing.py,1109,134,19,33,0,21,1
pandas/core/roperator.py,64,13,2,12,0,3,0
pandas/core/interchange/utils.py,183,19,13,2,2,8,0
pandas/core/interchange/__init__.py,0,0,0,0,0,0,0
pandas/core/interchange/column.py,479,60,10,15,1,16,0
pandas/core/interchange/buffer.py,135,19,4,12,2,5,1
pandas/core/interchange/dataframe_protocol.py,468,37,2,26,8,6,0
pandas/core/interchange/dataframe.py,113,26,5,13,1,8,0
pandas/core/interchange/from_dataframe.py,613,64,11,13,0,14,0
pandas/core/array_algos/replace.py,159,18,9,6,0,9,1
pandas/core/array_algos/datetimelike_accumulations.py,73,7,4,4,0,6,0
pandas/core/array_algos/masked_reductions.py,252,44,10,11,0,8,0
pandas/core/array_algos/__init__.py,9,0,0,0,0,0,0
pandas/core/array_algos/putmask.py,150,24,8,5,0,9,1
pandas/core/array_algos/masked_accumulations.py,97,10,6,5,0,5,0
pandas/core/array_algos/quantile.py,232,18,9,4,0,5,1
pandas/core/array_algos/transforms.py,48,7,7,1,0,4,0
pandas/core/array_algos/take.py,621,83,22,15,0,15,1
pandas/core/groupby/categorical.py,83,6,6,1,0,4,1
pandas/core/groupby/__init__.py,15,0,0,0,0,3,0
pandas/core/groupby/ops.py,1478,288,31,64,6,23,1
pandas/core/groupby/indexing.py,379,51,10,13,3,9,0
pandas/core/groupby/grouper.py,1051,162,49,25,2,25,1
pandas/core/groupby/groupby.py,5911,309,18,100,3,56,1
pandas/core/groupby/numba_.py,177,8,4,5,0,11,1
pandas/core/groupby/generic.py,4254,245,29,67,3,39,1
pandas/core/groupby/base.py,121,1,1,0,1,4,1
pandas/core/internals/blocks.py,2469,422,21,94,6,38,1
pandas/core/internals/__init__.py,65,5,5,1,0,9,0
pandas/core/internals/ops.py,164,26,11,5,1,8,0
pandas/core/internals/concat.py,415,80,17,14,1,16,1
pandas/core/internals/api.py,189,20,10,4,1,14,0
pandas/core/internals/construction.py,1092,216,46,24,0,24,1
pandas/core/internals/managers.py,2589,441,24,131,3,30,1
pandas/core/ops/common.py,162,16,10,7,0,9,1
pandas/core/ops/dispatch.py,31,2,2,1,0,4,1
pandas/core/ops/invalid.py,77,4,3,3,0,6,0
pandas/core/ops/__init__.py,94,0,0,0,0,6,1
pandas/core/ops/array_ops.py,620,87,16,12,0,21,1
pandas/core/ops/mask_ops.py,194,23,7,4,0,5,0
pandas/core/ops/missing.py,176,21,7,3,0,4,1
pandas/core/dtypes/common.py,2022,162,13,42,0,18,1
pandas/core/dtypes/dtypes.py,2508,420,24,127,10,70,1
pandas/core/dtypes/__init__.py,0,0,0,0,0,0,0
pandas/core/dtypes/inference.py,519,34,8,12,0,11,1
pandas/core/dtypes/cast.py,1877,410,68,47,0,32,1
pandas/core/dtypes/generic.py,151,1,1,4,0,5,1
pandas/core/dtypes/concat.py,350,54,22,5,0,16,1
pandas/core/dtypes/api.py,83,0,0,0,0,1,0
pandas/core/dtypes/base.py,611,65,6,36,3,13,0
pandas/core/dtypes/astype.py,329,62,29,7,0,16,1
pandas/core/dtypes/missing.py,735,121,19,27,0,21,1
pandas/core/indexers/utils.py,595,96,18,14,0,12,1
pandas/core/indexers/__init__.py,33,0,0,0,0,1,0
pandas/core/indexers/objects.py,669,82,15,11,8,9,1
pandas/core/reshape/__init__.py,0,0,0,0,0,0,0
pandas/core/reshape/melt.py,676,51,30,6,0,15,1
pandas/core/reshape/tile.py,687,75,24,11,0,15,1
pandas/core/reshape/encoding.py,589,60,27,5,0,22,0
pandas/core/reshape/reshape.py,1139,187,23,28,1,28,1
pandas/core/reshape/concat.py,999,145,35,16,0,24,1
pandas/core/reshape/api.py,41,0,0,0,0,6,0
pandas/core/reshape/pivot.py,1322,152,41,14,0,23,1
pandas/core/reshape/merge.py,3221,521,65,57,4,37,1
pandas/core/methods/__init__.py,0,0,0,0,0,0,0
pandas/core/methods/selectn.py,301,58,16,9,3,12,0
pandas/core/methods/to_dict.py,288,51,41,6,0,12,0
pandas/core/methods/describe.py,383,52,7,13,3,20,0
pandas/core/sparse/__init__.py,0,0,0,0,0,0,0
pandas/core/sparse/api.py,5,0,0,0,0,2,1
pandas/core/strings/__init__.py,24,0,0,0,0,0,0
pandas/core/strings/object_array.py,528,114,13,63,1,17,1
pandas/core/strings/accessor.py,4882,241,37,73,1,30,1
pandas/core/util/__init__.py,0,0,0,0,0,0,0
pandas/core/util/numba_.py,149,15,5,5,0,9,1
pandas/core/util/hashing.py,398,33,12,5,0,14,1
pandas/core/arrays/categorical.py,3247,300,27,89,2,57,1
pandas/core/arrays/string_arrow.py,654,150,18,31,1,29,1
pandas/core/arrays/_utils.py,77,18,18,1,0,11,0
pandas/core/arrays/_mixins.py,654,84,10,35,1,28,1
pandas/core/arrays/__init__.py,43,0,0,0,0,15,1
pandas/core/arrays/period.py,1620,178,15,46,1,36,1
pandas/core/arrays/masked.py,2221,344,30,98,1,50,1
pandas/core/arrays/floating.py,192,8,2,3,4,8,1
pandas/core/arrays/datetimes.py,3277,296,48,63,1,46,1
pandas/core/arrays/datetimelike.py,2546,348,29,101,3,53,1
pandas/core/arrays/string_.py,1290,223,21,52,3,44,1
pandas/core/arrays/boolean.py,454,74,22,17,2,21,1
pandas/core/arrays/_ranges.py,284,40,12,4,0,7,1
pandas/core/arrays/_arrow_string_mixins.py,455,97,12,40,1,13,0
pandas/core/arrays/base.py,3398,206,11,103,4,36,1
pandas/core/arrays/interval.py,1923,228,28,64,1,40,1
pandas/core/arrays/integer.py,296,17,3,3,10,8,1
pandas/core/arrays/numeric.py,305,69,37,13,2,17,1
pandas/core/arrays/numpy_.py,701,114,17,36,1,25,1
pandas/core/arrays/timedeltas.py,1259,164,21,46,1,30,1
pandas/core/arrays/arrow/__init__.py,7,0,0,0,0,2,0
pandas/core/arrays/arrow/accessors.py,521,35,5,16,3,16,0
pandas/core/arrays/arrow/extension_types.py,174,31,4,20,3,10,0
pandas/core/arrays/arrow/_arrow_utils.py,50,3,3,1,0,3,0
pandas/core/arrays/arrow/array.py,4016,704,38,186,1,61,1
pandas/core/arrays/sparse/__init__.py,19,0,0,0,0,2,0
pandas/core/arrays/sparse/scipy_sparse.py,208,17,5,5,0,13,0
pandas/core/arrays/sparse/accessor.py,505,36,5,14,3,18,1
pandas/core/arrays/sparse/array.py,2101,300,27,78,2,40,1
pandas/core/window/common.py,171,29,24,4,0,8,1
pandas/core/window/__init__.py,23,0,0,0,0,3,0
pandas/core/window/rolling.py,3578,277,17,96,6,46,1
pandas/core/window/numba_.py,349,10,2,10,0,13,1
pandas/core/window/online.py,135,8,2,5,1,6,1
pandas/core/window/expanding.py,1475,30,2,26,2,9,1
pandas/core/window/ewm.py,1199,85,12,27,3,25,1
pandas/core/indexes/multi.py,5004,616,44,118,6,38,1
pandas/core/indexes/__init__.py,0,0,0,0,0,0,0
pandas/core/indexes/category.py,593,42,6,17,1,16,1
pandas/core/indexes/period.py,815,65,10,24,1,20,1
pandas/core/indexes/datetimes.py,1887,177,24,55,1,33,1
pandas/core/indexes/datetimelike.py,1621,256,28,64,2,32,1
pandas/core/indexes/accessors.py,701,68,11,19,6,22,1
pandas/core/indexes/api.py,342,60,30,8,0,16,1
pandas/core/indexes/base.py,8502,1118,44,237,1,77,1
pandas/core/indexes/frozen.py,127,19,3,11,1,7,1
pandas/core/indexes/interval.py,1535,165,27,43,1,26,1
pandas/core/indexes/extension.py,176,16,5,11,2,11,1
pandas/core/indexes/range.py,1672,320,27,77,1,27,1
pandas/core/indexes/timedeltas.py,554,75,17,15,1,21,1
pandas/core/_numba/extensions.py,586,70,4,53,6,17,0
pandas/core/_numba/__init__.py,0,0,0,0,0,0,0
pandas/core/_numba/executor.py,259,6,3,7,0,10,1
pandas/core/_numba/kernels/__init__.py,27,0,0,0,0,4,0
pandas/core/_numba/kernels/shared.py,28,4,4,1,0,4,0
pandas/core/_numba/kernels/var_.py,251,33,14,4,0,6,1
pandas/core/_numba/kernels/sum_.py,255,29,14,5,0,7,1
pandas/core/_numba/kernels/mean_.py,198,29,17,4,0,7,0
pandas/core/_numba/kernels/min_max_.py,178,45,26,4,0,5,0
pandas/core/computation/common.py,55,9,7,2,0,8,0
pandas/core/computation/expressions.py,299,48,9,14,0,13,1
pandas/core/computation/__init__.py,0,0,0,0,0,0,0
pandas/core/computation/ops.py,566,117,13,45,7,15,1
pandas/core/computation/align.py,227,47,18,8,0,17,1
pandas/core/computation/eval.py,454,55,32,7,0,17,1
